score,rule_name,role,rule_family,ingredient_labels,ingredient_specificity,context_labels,predicates,good_hits,bad_hits,cleaned_hits,manual_hits,good_support,bad_support,cleaned_support,manual_support,precision_vs_bad_support,lift_good_vs_bad,bad_support_note,generality_score,non_triviality_score,diversity_bonus,generation_hint,orthogonality,candidate_features,nearest_old_rule_by_token,max_old_token_jaccard,nearest_old_rule_by_coverage,max_old_coverage_jaccard,write_to_rule_cache,review_note,production_tier_v7,production_family_v7,context_blueprint_v7,blueprint_signature_v7,original_v5_score,production_bonus_v7
0.636899972686641,motif:proxy:orbit_or_seal_field AND motif:proxy:nested_or_multi_cycle AND stroke_count<=7,grammar_level_independent_rule,two_strict_ingredients_plus_quality,nested_portal+orbit_seal,0.7350000000000001,stroke_count,"[{'name': 'motif:proxy:orbit_or_seal_field', 'feature': 'motif:proxy:orbit_or_seal_field', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'motif:proxy:nested_or_multi_cycle', 'feature': 'motif:proxy:nested_or_multi_cycle', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'stroke_count<=7', 'feature': 'stroke_count', 'op': '<=', 'value': 7.0, 'kind': 'quality_context'}]",87,277,168,3,0.16051660516605165,0.06996716342510735,0.46153846153846156,0.0234375,0.23901098901098902,2.294170522486561,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.7467020295202952,0.7617,0.6666666666666666,"production_blueprint: NESTED_ORBIT_SEAL(outer_shell, inner_cycle, core_ports); constraints: line_length + stroke_capacity + physical_projector",1.0,"['motif:proxy:nested_or_multi_cycle', 'motif:proxy:orbit_or_seal_field', 'stroke_count']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,NESTED_ORBIT_SEAL,stroke_capacity,NESTED_ORBIT_SEAL|nested_portal+orbit_seal|stroke_capacity,0.456899972686641,0.18
0.6368978066807598,port_count_proxy>=18 AND motif:proxy:orbit_or_seal_field AND stroke_count<=7,grammar_level_independent_rule,two_strict_ingredients_plus_quality,orbit_seal+semantic_topology,0.525,stroke_count,"[{'name': 'port_count_proxy>=18', 'feature': 'port_count_proxy', 'op': '>=', 'value': 18.0, 'kind': 'strict_positive_ingredient'}, {'name': 'motif:proxy:orbit_or_seal_field', 'feature': 'motif:proxy:orbit_or_seal_field', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'stroke_count<=7', 'feature': 'stroke_count', 'op': '<=', 'value': 7.0, 'kind': 'quality_context'}]",117,372,82,1,0.2158671586715867,0.09396312200050518,0.22527472527472528,0.0078125,0.2392638036809816,2.2973604194746287,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.7951337638376383,0.7155,1.0,"production_blueprint: DISCOVERED_TOPOLOGY_MOTIF(typed_ports, structural_context); constraints: review visually before rule-cache promotion",1.0,"['motif:proxy:orbit_or_seal_field', 'port_count_proxy', 'stroke_count']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,DISCOVERED_TOPOLOGY_MOTIF,stroke_capacity,DISCOVERED_TOPOLOGY_MOTIF|orbit_seal+semantic_topology|stroke_capacity,0.4568978066807598,0.18
0.6365395493603287,motif:proxy:nested_or_multi_cycle AND X_count>=1 AND stroke_count<=7,grammar_level_independent_rule,specific_ingredient_plus_structural_context_plus_quality,nested_portal,0.92,cross_context+stroke_count,"[{'name': 'motif:proxy:nested_or_multi_cycle', 'feature': 'motif:proxy:nested_or_multi_cycle', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'X_count>=1', 'feature': 'X_count', 'op': '>=', 'value': 1.0, 'kind': 'structural_context'}, {'name': 'stroke_count<=7', 'feature': 'stroke_count', 'op': '<=', 'value': 7.0, 'kind': 'quality_context'}]",81,193,104,0,0.14944649446494465,0.04874968426370296,0.2857142857142857,0.0,0.2956204379562044,3.0655889295805663,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.7370156826568266,0.6323999999999999,1.0,"production_blueprint: NESTED_PORTAL(core, shell_layers); constraints: cycle_context + length_gate + avoid_low_context_cycle",1.0,"['X_count', 'motif:proxy:nested_or_multi_cycle', 'stroke_count']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,NESTED_PORTAL,cross_context+stroke_capacity,NESTED_PORTAL|nested_portal|cross_context+stroke_capacity,0.45653954936032876,0.18
0.6351928346541771,port_count_proxy>=18 AND motif:proxy:nested_or_multi_cycle AND stroke_count<=7,grammar_level_independent_rule,two_strict_ingredients_plus_quality,nested_portal+semantic_topology,0.71,stroke_count,"[{'name': 'port_count_proxy>=18', 'feature': 'port_count_proxy', 'op': '>=', 'value': 18.0, 'kind': 'strict_positive_ingredient'}, {'name': 'motif:proxy:nested_or_multi_cycle', 'feature': 'motif:proxy:nested_or_multi_cycle', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'stroke_count<=7', 'feature': 'stroke_count', 'op': '<=', 'value': 7.0, 'kind': 'quality_context'}]",65,186,82,0,0.11992619926199262,0.04698156100025259,0.22527472527472528,0.0,0.2589641434262948,2.5526226705989012,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.7111854243542436,0.7562,1.0,"production_blueprint: NESTED_PORTAL(core, shell_layers); constraints: cycle_context + length_gate + avoid_low_context_cycle",1.0,"['motif:proxy:nested_or_multi_cycle', 'port_count_proxy', 'stroke_count']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,NESTED_PORTAL,stroke_capacity,NESTED_PORTAL|nested_portal+semantic_topology|stroke_capacity,0.4551928346541771,0.18
0.6307655189362188,motif:proxy:nested_or_multi_cycle AND max_degree>=3 AND stroke_count<=7,grammar_level_independent_rule,specific_ingredient_plus_structural_context_plus_quality,nested_portal,0.92,graph_complexity+stroke_count,"[{'name': 'motif:proxy:nested_or_multi_cycle', 'feature': 'motif:proxy:nested_or_multi_cycle', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'max_degree>=3', 'feature': 'max_degree', 'op': '>=', 'value': 3.0, 'kind': 'structural_context'}, {'name': 'stroke_count<=7', 'feature': 'stroke_count', 'op': '<=', 'value': 7.0, 'kind': 'quality_context'}]",89,284,173,3,0.16420664206642066,0.07173528668855772,0.47527472527472525,0.0234375,0.2386058981233244,2.2890637001322403,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.749930811808118,0.6323999999999999,1.0,"production_blueprint: NESTED_PORTAL(core, shell_layers); constraints: cycle_context + length_gate + avoid_low_context_cycle",1.0,"['max_degree', 'motif:proxy:nested_or_multi_cycle', 'stroke_count']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,NESTED_PORTAL,graph_complexity+stroke_capacity,NESTED_PORTAL|nested_portal|graph_complexity+stroke_capacity,0.4507655189362188,0.18
0.6275715352397011,motif:proxy:orbit_or_seal_field AND motif:proxy:nested_or_multi_cycle AND connected_components<=1,grammar_level_independent_rule,two_strict_ingredients_plus_quality,nested_portal+orbit_seal,0.7350000000000001,connectivity,"[{'name': 'motif:proxy:orbit_or_seal_field', 'feature': 'motif:proxy:orbit_or_seal_field', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'motif:proxy:nested_or_multi_cycle', 'feature': 'motif:proxy:nested_or_multi_cycle', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'connected_components<=1', 'feature': 'connected_components', 'op': '<=', 'value': 1.0, 'kind': 'quality_context'}]",102,375,158,3,0.1881918819188192,0.09472088911341248,0.4340659340659341,0.0234375,0.2138364779874214,1.9868044176262574,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.7709178966789668,0.7617,0.6666666666666666,"production_blueprint: NESTED_ORBIT_SEAL(outer_shell, inner_cycle, core_ports); constraints: line_length + stroke_capacity + physical_projector",1.0,"['connected_components', 'motif:proxy:nested_or_multi_cycle', 'motif:proxy:orbit_or_seal_field']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,NESTED_ORBIT_SEAL,connectivity,NESTED_ORBIT_SEAL|nested_portal+orbit_seal|connectivity,0.44757153523970106,0.18
0.6275715352397011,motif:proxy:orbit_or_seal_field AND motif:proxy:nested_or_multi_cycle AND NOT_bad_floating_or_multicomponent,grammar_level_independent_rule,two_strict_ingredients_plus_bad_avoid,nested_portal+orbit_seal,0.7350000000000001,avoid_bad_failure,"[{'name': 'motif:proxy:orbit_or_seal_field', 'feature': 'motif:proxy:orbit_or_seal_field', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'motif:proxy:nested_or_multi_cycle', 'feature': 'motif:proxy:nested_or_multi_cycle', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'NOT_bad_floating_or_multicomponent', 'feature': 'bad_subtype:bad_floating_or_multicomponent', 'op': 'not', 'value': True, 'kind': 'bad_avoid_context'}]",102,375,158,3,0.1881918819188192,0.09472088911341248,0.4340659340659341,0.0234375,0.2138364779874214,1.9868044176262574,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.7709178966789668,0.7617,0.6666666666666666,"production_blueprint: NESTED_ORBIT_SEAL(outer_shell, inner_cycle, core_ports); constraints: line_length + stroke_capacity + physical_projector",1.0,"['bad_subtype:bad_floating_or_multicomponent', 'motif:proxy:nested_or_multi_cycle', 'motif:proxy:orbit_or_seal_field']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,NESTED_ORBIT_SEAL,bad_avoid,NESTED_ORBIT_SEAL|nested_portal+orbit_seal|bad_avoid,0.44757153523970106,0.18
0.627237262770074,motif:proxy:nested_or_multi_cycle AND cycle_count>=1 AND stroke_count<=7,grammar_level_independent_rule,specific_ingredient_plus_structural_context_plus_quality,nested_portal,0.92,cycle_context+stroke_count,"[{'name': 'motif:proxy:nested_or_multi_cycle', 'feature': 'motif:proxy:nested_or_multi_cycle', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'cycle_count>=1', 'feature': 'cycle_count', 'op': '>=', 'value': 1.0, 'kind': 'structural_context'}, {'name': 'stroke_count<=7', 'feature': 'stroke_count', 'op': '<=', 'value': 7.0, 'kind': 'quality_context'}]",89,299,175,3,0.16420664206642066,0.07552412225309421,0.4807692307692308,0.0234375,0.22938144329896906,2.1742277300742203,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.749930811808118,0.6323999999999999,1.0,"production_blueprint: NESTED_PORTAL(core, shell_layers); constraints: cycle_context + length_gate + avoid_low_context_cycle",1.0,"['cycle_count', 'motif:proxy:nested_or_multi_cycle', 'stroke_count']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,NESTED_PORTAL,cycle_context+stroke_capacity,NESTED_PORTAL|nested_portal|cycle_context+stroke_capacity,0.44723726277007403,0.18
0.6222561576745305,port_count_proxy>=18 AND motif:proxy:orbit_or_seal_field AND connected_components<=1,grammar_level_independent_rule,two_strict_ingredients_plus_quality,orbit_seal+semantic_topology,0.525,connectivity,"[{'name': 'port_count_proxy>=18', 'feature': 'port_count_proxy', 'op': '>=', 'value': 18.0, 'kind': 'strict_positive_ingredient'}, {'name': 'motif:proxy:orbit_or_seal_field', 'feature': 'motif:proxy:orbit_or_seal_field', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'connected_components<=1', 'feature': 'connected_components', 'op': '<=', 'value': 1.0, 'kind': 'quality_context'}]",144,566,83,1,0.2656826568265683,0.1429653953018439,0.22802197802197802,0.0078125,0.2028169014084507,1.8583703798199567,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.8387223247232473,0.7155,1.0,"production_blueprint: DISCOVERED_TOPOLOGY_MOTIF(typed_ports, structural_context); constraints: review visually before rule-cache promotion",1.0,"['connected_components', 'motif:proxy:orbit_or_seal_field', 'port_count_proxy']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,DISCOVERED_TOPOLOGY_MOTIF,connectivity,DISCOVERED_TOPOLOGY_MOTIF|orbit_seal+semantic_topology|connectivity,0.4422561576745305,0.18
0.6182280980942791,port_count_proxy>=18 AND motif:proxy:nested_or_multi_cycle AND connected_components<=1,grammar_level_independent_rule,two_strict_ingredients_plus_quality,nested_portal+semantic_topology,0.71,connectivity,"[{'name': 'port_count_proxy>=18', 'feature': 'port_count_proxy', 'op': '>=', 'value': 18.0, 'kind': 'strict_positive_ingredient'}, {'name': 'motif:proxy:nested_or_multi_cycle', 'feature': 'motif:proxy:nested_or_multi_cycle', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'connected_components<=1', 'feature': 'connected_components', 'op': '<=', 'value': 1.0, 'kind': 'quality_context'}]",80,312,83,0,0.14760147601476015,0.07880777974235918,0.22802197802197802,0.0,0.20408163265306123,1.8729302566875146,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.7354012915129151,0.7562,1.0,"production_blueprint: NESTED_PORTAL(core, shell_layers); constraints: cycle_context + length_gate + avoid_low_context_cycle",1.0,"['connected_components', 'motif:proxy:nested_or_multi_cycle', 'port_count_proxy']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,NESTED_PORTAL,connectivity,NESTED_PORTAL|nested_portal+semantic_topology|connectivity,0.4382280980942792,0.18
0.6147294586196188,motif:proxy:nested_or_multi_cycle AND X_count>=1 AND connected_components<=1,grammar_level_independent_rule,specific_ingredient_plus_structural_context_plus_quality,nested_portal,0.92,connectivity+cross_context,"[{'name': 'motif:proxy:nested_or_multi_cycle', 'feature': 'motif:proxy:nested_or_multi_cycle', 'op': 'has', 'value': True, 'kind': 'strict_positive_ingredient'}, {'name': 'X_count>=1', 'feature': 'X_count', 'op': '>=', 'value': 1.0, 'kind': 'structural_context'}, {'name': 'connected_components<=1', 'feature': 'connected_components', 'op': '<=', 'value': 1.0, 'kind': 'quality_context'}]",96,277,101,0,0.17712177121771217,0.06996716342510735,0.2774725274725275,0.0,0.257372654155496,2.5314985060928517,"V5 penalizes high bad support; accepted candidates should explain a reusable grammar motif, not a quality filter.",0.7612315498154981,0.6323999999999999,0.6666666666666666,"production_blueprint: NESTED_PORTAL(core, shell_layers); constraints: cycle_context + length_gate + avoid_low_context_cycle",1.0,"['X_count', 'connected_components', 'motif:proxy:nested_or_multi_cycle']",,0.0,,0.0,False,V7: production-ready blueprint candidate; still review visually before writing to new_rule_cache.,production_ready,NESTED_PORTAL,connectivity+cross_context,NESTED_PORTAL|nested_portal|connectivity+cross_context,0.43472945861961876,0.18
